fonte,par,preco_compra,preco_venda,variacao_pct,coletado_em
frankfurter,USD-BRL,5.1279,5.1279,,2026-09-22T11:39:00.798323+00:00
frankfurter,EUR-BRL,5.892,5.892,,2026-09-22T11:39:00.798323+00:00
frankfurter,USD-BRL,5.1279,5.1279,,2026-09-22T12:00:59.242599+00:00
frankfurter,EUR-BRL,5.892,5.892,,2026-09-22T12:00:59.242599+00:00
frankfurter,USD-BRL,5.1279,5.1279,,2026-09-22T12:13:17.234499+00:00
frankfurter,EUR-BRL,5.892,5.892,,2026-09-22T12:13:17.234499+00:00
frankfurter,USD-BRL,5.1279,5.1279,,2026-09-22T12:30:27.550776+00:00
frankfurter,EUR-BRL,5.892,5.892,,2026-09-22T12:30:27.550776+00:00
frankfurter,USD-BRL,5.1231,5.1231,,2026-09-22T15:52:44.742947+00:00
frankfurter,EUR-BRL,5.8726,5.8726,,2026-09-22T15:52:44.742947+00:00
frankfurter,USD-BRL,5.1231,5.1231,,2026-09-22T20:41:10.383312+00:00
frankfurter,EUR-BRL,5.8726,5.8726,,2026-09-22T20:41:10.383312+00:00
